fid,imageName,lat,lng,dataTime,remark,上傳者,標註者,驗證者,標籤,createdAt,updatedAt,原本有無設置人行空間,保護性,原始總寬度－是否夠寬讓輪椅通行,佔用情形(多選)-導致兩人交會需停讓或淨寬<1.5米,行人被迫實際行走路徑中會碰到的最大動態風險,承受上題風險的頻率,使用目的,思源地圖類別-無須填寫,思源地圖名稱-無須填寫,imageUrl,_id,rank_a1,rank_b1,rank_c1,COUNTYNAME,TOWNNAME,VILLNAME,村里全名,edu_Distance,hospital_Distance,near_edu,near_hospital
"422",00422.jpg,24.14323889,120.6551667,2022/12/30,,63aafbf84ee1ac0e056327cd_Richard Chen,63b29f74181b962669dffd90_Amber Chen,63b29f74181b962669dffd90_Amber Chen,,2022/12/30,2023/01/04,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（臨時停車）|私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae5c494ee1ac5df76328c0.jpg,63ae5c494ee1ac5df76328c0,2.6,-7,0,臺中市,西區,公德里,臺中市西區公德里,805.200020619196,684.426831731857,"0","0"
"423",00423.jpg,24.14325556,120.6557861,2022/12/30,,63aafbf84ee1ac0e056327cd_Richard Chen,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),採購日用|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae5c964ee1ac51d26328c1.jpg,63ae5c964ee1ac51d26328c1,2.6,-7,0,臺中市,西區,公德里,臺中市西區公德里,742.231170715483,739.067580161904,"0","0"
"424",00424.jpg,24.14266667,120.6554556,2022/12/30,,63aafbf84ee1ac0e056327cd_Richard Chen,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae5cc54ee1acabf26328c2.jpg,63ae5cc54ee1acabf26328c2,2.6,-7,0,臺中市,西區,公德里,臺中市西區公德里,779.050320784646,678.325317755083,"0","0"
"425",00425.jpg,24.14263889,120.6554111,2022/12/30,,63aafbf84ee1ac0e056327cd_Richard Chen,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae5cef4ee1ac73f36328c3.jpg,63ae5cef4ee1ac73f36328c3,2.6,-7,0,臺中市,西區,公德里,臺中市西區公德里,783.839673297879,672.899579212218,"0","0"
"426",00426.jpg,24.96235171,121.5111387,2022/12/30,,63ad146f4ee1ac51f063285a_Hasting Yang,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有汽車行駛,總是如此(100%~95%),親子活動|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae65354ee1acc0d46328c4.jpg,63ae65354ee1acc0d46328c4,0,-10,0,新北市,新店區,安昌里,新北市新店區安昌里,282.646415134009,4593.06744474722,"1","0"
"427",00427.jpg,23.03871524,120.2145982,2022/12/30,超超超大大大大大大大的路肩,63abc1f74ee1ac946a6327df_移動神塔塔,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有機車行駛,總是如此(100%~95%),工作|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae67524ee1ace3366328c5.jpg,63ae67524ee1ace3366328c5,2.4,-10,0,臺南市,安南區,安慶里,臺南市安南區安慶里,460.694127766564,5290.84039364639,"1","0"
"428",00428.jpg,22.6234608,120.3192172,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,無佔用或阻礙,有自行車行駛,偶爾如此(29~10%),休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6d0d4ee1ac4f316328c7.jpg,63ae6d0d4ee1ac4f316328c7,8.8,8,8,高雄市,苓雅區,林南里,高雄市苓雅區林南里,433.462632252956,1338.7488649108,"1","0"
"429",00429.jpg,22.6234417,120.3191429,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,63b29f74181b962669dffd90_Amber Chen,,,2022/12/30,2023/01/03,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6d2d4ee1ac05e66328c8.jpg,63ae6d2d4ee1ac05e66328c8,8.6,3,4,高雄市,苓雅區,林南里,高雄市苓雅區林南里,440.383719652195,1339.672026502,"1","0"
"430",00430.jpg,22.6232547,120.3185594,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6d904ee1ac7aa06328c9.jpg,63ae6d904ee1ac7aa06328c9,7.6,0.5,2.5,高雄市,苓雅區,林南里,高雄市苓雅區林南里,498.47709800101,1344.80673774815,"1","0"
"431",00431.jpg,22.6232594,120.3185457,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,通常如此(94~80%),採購日用|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6db74ee1ac1d9e6328ca.jpg,63ae6db74ee1ac1d9e6328ca,8.6,3,4,高雄市,苓雅區,林南里,高雄市苓雅區林南里,499.194229208956,1345.87473744916,"1","0"
"432",00432.jpg,24.15089167,120.6599056,2022/12/30,公車站前店家擺滿盆栽對上下公車造成阻礙,63ab8f694ee1ac66886327d2_路人甲,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,私人佔用（商家、住家）,有機車行駛,總是如此(100%~95%),休閒|其他|通學|工作|採購日用|採購食物|親子活動,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6dba4ee1ac0e696328cb.jpg,63ae6dba4ee1ac0e696328cb,4,-5.5,1,臺中市,西區,公益里,臺中市西區公益里,681.946172838915,1612.91029019801,"0","0"
"433",00433.jpg,22.6231718,120.3185413,2022/12/30,騎樓高低差，不利輪椅嬰兒車通行,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有機車行駛,常如此(79~50%),工作|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6e414ee1ac0ba16328cc.jpg,63ae6e414ee1ac0ba16328cc,5,-3,1.6,高雄市,苓雅區,林南里,高雄市苓雅區林南里,505.962383077346,1337.28803966912,"0","0"
"434",00434.jpg,22.6228892,120.3176432,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,私人佔用（臨時停車）|公共設施阻礙（有停車格）,有機車行駛,常如此(79~50%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6f434ee1acbe746328cd.jpg,63ae6f434ee1acbe746328cd,5,-3,1.6,高雄市,苓雅區,林南里,高雄市苓雅區林南里,424.002956368111,1351.88273745127,"1","0"
"435",00435.jpg,22.6234345,120.3177018,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,私人佔用（臨時停車）|公共設施阻礙（有停車格）,有機車行駛,有時如此(49~30%),採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae6f8f4ee1ac6fad6328cf.jpg,63ae6f8f4ee1ac6fad6328cf,5,-3,1.6,高雄市,苓雅區,林南里,高雄市苓雅區林南里,455.58053521251,1401.97879064446,"1","0"
"436",00436.jpg,22.6241782,120.3172055,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,63aaee394ee1acc9896327c1_子誠 蘇,63b81784181b963cd7e04572_Ya,符合規定,2022/12/30,2023/01/06,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,無佔用或阻礙,有自行車行駛,常如此(79~50%),休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae70754ee1aced236328d0.jpg,63ae70754ee1aced236328d0,8.8,8,8,高雄市,苓雅區,中正里,高雄市苓雅區中正里,426.161801316825,1498.65763196092,"1","0"
"437",00437.jpg,22.6240995,120.3171183,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,通常如此(94~80%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae70e24ee1ac629b6328d1.jpg,63ae70e24ee1ac629b6328d1,8.6,3,4,高雄市,苓雅區,中正里,高雄市苓雅區中正里,414.645525037591,1495.2623362046,"1","0"
"438",00438.jpg,22.6244061,120.317001,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae70fe4ee1ac77076328d2.jpg,63ae70fe4ee1ac77076328d2,8.6,3,4,高雄市,苓雅區,中正里,高雄市苓雅區中正里,417.079542913433,1530.848771351,"1","0"
"439",00439.jpg,22.6248045,120.3167842,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae71304ee1ac1e556328d3.jpg,63ae71304ee1ac1e556328d3,8.6,3,4,高雄市,苓雅區,中正里,高雄市苓雅區中正里,419.225252455634,1580.25744038878,"1","0"
"440",00440.jpg,22.6251246,120.3167178,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae717b4ee1ac30816328d4.jpg,63ae717b4ee1ac30816328d4,8.6,3,4,高雄市,苓雅區,中正里,高雄市苓雅區中正里,449.026000503741,1614.72197840574,"1","0"
"441",00441.jpg,22.6253602,120.3165517,2022/12/30,,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae71b94ee1acee956328d5.jpg,63ae71b94ee1acee956328d5,8.6,3,4,高雄市,苓雅區,中正里,高雄市苓雅區中正里,422.425344135446,1558.41347641596,"1","0"
"442",00442.jpg,22.625912,120.31637,2022/12/30,騎樓未整平,63ad08864ee1ac7ca5632841_小耳 魯,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae721f4ee1ac7f416328d7.jpg,63ae721f4ee1ac7f416328d7,8.6,3,5,高雄市,苓雅區,中正里,高雄市苓雅區中正里,361.552644201096,1505.63851496946,"1","0"
"443",00443.jpg,23.697415,120.5377511,2022/12/30,,63a5b57e4ee1ac1b54632752_Tsai-Yu Wu,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有汽車行駛,總是如此(100%~95%),通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae74ed4ee1acdedb6328d8.jpg,63ae74ed4ee1acdedb6328d8,0,-10,0,雲林縣,斗六市,鎮南里,雲林縣斗六市鎮南里,252.119731522577,13455.4337363262,"1","0"
"444",00444.jpg,25.03534722,121.5659556,2022/12/30,,63a79c3d4ee1ac3539632758_婉瑄 高,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,無佔用或阻礙,有自行車行駛,偶爾如此(29~10%),工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae75af4ee1aca2f66328d9.jpg,63ae75af4ee1aca2f66328d9,8.8,8,8,臺北市,信義區,西村里,臺北市信義區西村里,503.006178607124,1570.58735266193,"0","0"
"445",00445.jpg,25.0427267,121.5485438,2022/12/30,,63a79c3d4ee1ac3539632758_婉瑄 高,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,標線人行道(無實體分隔),輪椅無法通行（窄於100公分）,無佔用或阻礙,有汽車行駛,總是如此(100%~95%),工作|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae765a4ee1ac12166328da.jpg,63ae765a4ee1ac12166328da,2.4,-6.5,0,臺北市,大安區,光武里,臺北市大安區光武里,379.779354243202,2129.4748745049,"1","0"
"446",00446.jpg,24.94696944,121.2056722,2022/12/30,標線型人行道斷續，且只有單邊,63a8f42e4ee1acb112632782_Mandy,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有機車行駛,通常如此(94~80%),就醫、照護|其他,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae7d594ee1acc3d36328db.jpg,63ae7d594ee1acc3d36328db,2.4,-10,0,桃園市,平鎮區,義民里,桃園市平鎮區義民里,312.040228227694,613.542792495186,"1","0"
"447",00447.jpg,24.94601944,121.2044694,2022/12/30,醫院附近沒有人行道,63a8f42e4ee1acb112632782_Mandy,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有汽車行駛,總是如此(100%~95%),就醫、照護|其他,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae7db74ee1ac57516328dc.jpg,63ae7db74ee1ac57516328dc,0,-10,0,桃園市,平鎮區,平興里,桃園市平鎮區平興里,229.844510564882,758.959645008232,"1","0"
"448",00448.jpg,24.8725842,120.999723,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(無實體分隔),輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,通常如此(94~80%),通學|採購食物|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae8fe84ee1ac61ab6328dd.jpg,63ae8fe84ee1ac61ab6328dd,1.6,-10,0,新竹縣,湖口鄉,鳳山村,新竹縣湖口鄉鳳山村,153.489717908433,3275.18704600343,"1","0"
"449",00449.jpg,23.95980811,120.5664968,2022/12/30,,63abc8d94ee1acda716327e8_Morris Lee,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,私人佔用（臨時停車）|公共設施阻礙（機電設備）,有汽車行駛,總是如此(100%~95%),工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae90cd4ee1ace4d56328df.jpg,63ae90cd4ee1ace4d56328df,2.6,-7,0,彰化縣,員林市,新生里,彰化縣員林市新生里,320.164124854041,617.962794131505,"1","0"
"450",00450.jpg,24.8722371,120.9994387,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,公共設施阻礙（機電設備）,有汽車行駛,總是如此(100%~95%),通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae90dc4ee1ac4bca6328e1.jpg,63ae90dc4ee1ac4bca6328e1,2.6,-7,0,新竹縣,湖口鄉,鳳山村,新竹縣湖口鄉鳳山村,122.267000849924,3299.65245772522,"1","0"
"451",00451.jpg,24.8691464,120.995367,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）|公共設施阻礙（機電設備）,有汽車行駛,總是如此(100%~95%),採購食物|通學|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae931c4ee1ac5e626328e2.jpg,63ae931c4ee1ac5e626328e2,2.6,-7,0,新竹縣,新豐鄉,山崎村,新竹縣新豐鄉山崎村,455.362871278652,3498.3487914512,"1","0"
"452",00452.jpg,24.8694375,120.994331,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,騎樓,沒有人行道或騎樓,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,總是如此(100%~95%),通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae94084ee1ac30866328e4.jpg,63ae94084ee1ac30866328e4,0,-10,0,新竹縣,新豐鄉,松林村,新竹縣新豐鄉松林村,358.991834375056,3443.2775497458,"1","0"
"453",00453.jpg,24.8700427,120.9932693,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅無法通行（窄於100公分）,私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),通學|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae95214ee1ac4f4d6328e5.jpg,63ae95214ee1ac4f4d6328e5,1.6,-9.5,0,新竹縣,新豐鄉,松林村,新竹縣新豐鄉松林村,261.302083028812,3356.18078318723,"1","0"
"454",00454.jpg,24.8694098,120.9923887,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,63b29f74181b962669dffd90_Amber Chen,,,2022/12/30,2023/01/04,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,私人佔用（臨時停車）|公共設施阻礙（機電設備）,有汽車行駛,總是如此(100%~95%),通學|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae95cf4ee1ac28d76328e6.jpg,63ae95cf4ee1ac28d76328e6,1.6,-9.5,0,新竹縣,新豐鄉,松林村,新竹縣新豐鄉松林村,162.695575169151,3409.97351494246,"1","0"
"455",00455.jpg,24.868801,120.9922684,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,通常如此(94~80%),通學|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae965e4ee1acc8216328e7.jpg,63ae965e4ee1acc8216328e7,2.6,-7,0,新竹縣,新豐鄉,松林村,新竹縣新豐鄉松林村,164.9003633213,3474.73572126086,"1","0"
"456",00456.jpg,24.8704859,120.9936086,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,總是如此(100%~95%),通學|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae97bb4ee1ac2ddf6328e8.jpg,63ae97bb4ee1ac2ddf6328e8,2.6,-7,0,新竹縣,新豐鄉,松林村,新竹縣新豐鄉松林村,309.87186745396,3314.60627935007,"1","0"
"457",00457.jpg,24.8720269,120.9928309,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,公共設施阻礙（機電設備）,有汽車行駛,總是如此(100%~95%),親子活動|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae98e14ee1ac3fcc6328e9.jpg,63ae98e14ee1ac3fcc6328e9,2.6,-7,0,新竹縣,新豐鄉,松柏村,新竹縣新豐鄉松柏村,356.54405178629,3131.98473919618,"1","0"
"458",00458.jpg,24.8728646,120.9939838,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有汽車行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae99e14ee1ac068b6328ea.jpg,63ae99e14ee1ac068b6328ea,0,-10,0,新竹縣,新豐鄉,山崎村,新竹縣新豐鄉山崎村,433.54091130351,3065.22673031724,"1","0"
"459",00459.jpg,24.874291,120.9959057,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,63b29f74181b962669dffd90_Amber Chen,,,2022/12/30,2023/01/03,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有汽車行駛,總是如此(100%~95%),通學|親子活動|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae9b194ee1ac0c446328eb.jpg,63ae9b194ee1ac0c446328eb,0,-10,0,新竹縣,新豐鄉,山崎村,新竹縣新豐鄉山崎村,320.895718287945,2964.08423824328,"1","0"
"460",00460.jpg,24.8758295,120.9966729,2022/12/30,,63acec774ee1ac170d632839_Celia Chang,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,有汽車行駛,總是如此(100%~95%),通學|採購食物|採購日用|親子活動|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63ae9c614ee1ac14ed6328ec.jpg,63ae9c614ee1ac14ed6328ec,0,-10,0,新竹縣,新豐鄉,山崎村,新竹縣新豐鄉山崎村,419.546887554951,2827.6320610294,"1","0"
"461",00461.jpg,24.8139209,120.9713197,2022/12/30,,63ac07fe4ee1ac795b632810_宣傑 廖,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓|私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63aead194ee1acfb786328ed.jpg,63aead194ee1acfb786328ed,0,-10,0,新竹市,東區,文華里,新竹市東區文華里,154.490075513847,9646.60872174135,"1","0"
"462",00462.jpg,24.1714212,120.6833991,2022/12/30,,63aec3a34ee1ace8476328ee_Lin Hiroshi,,,,2022/12/30,2022/12/30,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63aec4064ee1ac9ff76328ef.jpg,63aec4064ee1ac9ff76328ef,0,-10,0,臺中市,北屯區,平德里,臺中市北屯區平德里,206.540101297922,179.756034802471,"1","1"
"463",00463.jpg,24.9894961,121.509824,2022/12/30,,63a8fd9b4ee1aca5f6632785_阿軒,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),親子活動|就醫、照護|通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63aec9fa4ee1ac415c6328f0.jpg,63aec9fa4ee1ac415c6328f0,7.6,0.5,2.5,新北市,中和區,景福里,新北市中和區景福里,344.60684065617,1600.39613051545,"1","0"
"464",00464.jpg,24.99450278,121.3038278,2022/12/30,,63aaba694ee1ac5fdf6327b9_SWL,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,公共設施阻礙（機電設備）|公共設施阻礙（有停車格）|公共設施阻礙（樹穴）,有機車行駛,有時如此(49~30%),通學|工作|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63aecf124ee1ace82a6328f1.jpg,63aecf124ee1ace82a6328f1,5,-3,2,桃園市,桃園區,西門里,桃園市桃園區西門里,79.0605272400453,450.889288175643,"1","1"
"465",00465.jpg,24.14583889,120.6531694,2022/12/30,,63aafbf84ee1ac0e056327cd_Richard Chen,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63aecf494ee1acccb76328f2.jpg,63aecf494ee1acccb76328f2,8.6,3,5,臺中市,西區,公正里,臺中市西區公正里,576.85562665403,756.612703283659,"0","0"
"466",00466.jpg,24.99445639,121.3036877,2022/12/30,,63aaba694ee1ac5fdf6327b9_SWL,,,,2022/12/30,2022/12/30,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,總是如此(100%~95%),通學|工作|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63aecf524ee1ac2d576328f3.jpg,63aecf524ee1ac2d576328f3,2.6,-7,0,桃園市,桃園區,光興里,桃園市桃園區光興里,93.4574108039628,462.38405079709,"1","1"
